text,label,text_processado
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro
"Minha mãe... ela... falou com o... ah, como é mesmo?",1,mãe falar ah
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar
"Minha mãe... ela... falou com o... ah, como é mesmo?",1,mãe falar ah
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu
"Minha mãe... ela... falou com o... ah, como é mesmo?",1,mãe falar ah
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar
A coisa... aquilo... eu comi... era bom... ou não?,1,comi
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu
A coisa... aquilo... eu comi... era bom... ou não?,1,comi
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro
A coisa... aquilo... eu comi... era bom... ou não?,1,comi
